


        MORTGAGE AMORTIZATION TABLE

Amount:                     $   20,000.00
Interest Rate:              2.75%
Term (Years):               15
Monthly Payment:            $      135.71
Additional Principal:       $        0.00
Actual Payment:             $      135.71

          Principal      Interest       Balance
1      $      89.89  $      45.82  $  19,910.11
2             90.09         45.63     19,820.00
3             90.29         45.42     19,729.70
4             90.51         45.21     19,639.20
5             90.71         45.00     19,548.47
6             90.93         44.79     19,457.54
7             91.12         44.59     19,366.41
8             91.34         44.38     19,275.08
9             91.54         44.17     19,183.52
10            91.76         43.96     19,091.75
11            91.96         43.75     18,999.79
12            92.18         43.53     18,907.61
13            92.39         43.32     18,815.20
14            92.60         43.11     18,722.61
15            92.81         42.90     18,629.79
16            93.03         42.68     18,536.75
17            93.23         42.47     18,443.50
18            93.45         42.27     18,350.06
19            93.67         42.04     18,256.38
20            93.89         41.84     18,162.50
21            94.09         41.61     18,068.38
22            94.31         41.40     17,974.08
23            94.53         41.18     17,879.54
24            94.75         40.96     17,784.79
25            94.96         40.75     17,689.83
26            95.18         40.53     17,594.63
27            95.40         40.32     17,499.24
28            95.62         40.10     17,403.61
29            95.84         39.88     17,307.77
30            96.06         39.65     17,211.70
31            96.28         39.43     17,115.43
32            96.50         39.21     17,018.93
33            96.71         39.00     16,922.20
34            96.93         38.78     16,825.25
35            97.17         38.56     16,728.09
36            97.39         38.34     16,630.70
37            97.60         38.10     16,533.09
38            97.84         37.89     16,435.25
39            98.06         37.65     16,337.20
40            98.28         37.43     16,238.92
41            98.51         37.21     16,140.40
42            98.73         36.99     16,041.67
43            98.95         36.75     15,942.70
44            99.18         36.53     15,843.52
45            99.42         36.31     15,744.10
46            99.64         36.07     15,644.45
47            99.87         35.85     15,544.59
48           100.09         35.61     15,444.47
49           100.32         35.39     15,344.14
50           100.56         35.15     15,243.59
51           100.79         34.92     15,142.79
52           101.01         34.70     15,041.78
53           101.25         34.46     14,940.53
54           101.48         34.24     14,839.04
55           101.71         34.00     14,737.31
56           101.95         33.77     14,635.37
57           102.18         33.53     14,533.19
58           102.42         33.31     14,430.77
59           102.65         33.07     14,328.11
60           102.89         32.84     14,225.21
61           103.12         32.60     14,122.10
62           103.35         32.35     14,018.73
63           103.59         32.13     13,915.13
